unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62E+12,12/03/2021 17:00,BTC/USDT,57367.21,57768,57062.31,57175.99,2912.778032,167389828.4,105122
1.62E+12,12/03/2021 16:00,BTC/USDT,56956.96,57625.91,56956.95,57367.21,4127.973992,236584058.2,120676
1.62E+12,12/03/2021 15:00,BTC/USDT,56221.53,57095.41,56025.2,56956.95,4384.397186,248013123.6,140803
1.62E+12,12/03/2021 14:00,BTC/USDT,55689.99,56252.77,55368.42,56211.83,3760.798579,209965144,142307
1.62E+12,12/03/2021 13:00,BTC/USDT,56385.97,56391.25,54962.84,55689.99,8573.239283,476655241.6,258557
1.62E+12,12/03/2021 12:00,BTC/USDT,56499.99,56844.61,56179.47,56386.89,2404.350508,135679621.3,87431
1.62E+12,12/03/2021 11:00,BTC/USDT,56715.97,57073.48,56347,56500,2990.148796,169660312.3,143232
1.62E+12,12/03/2021 10:00,BTC/USDT,56540.53,56866.83,55826.05,56715.97,3955.426742,222654294.1,111261
1.62E+12,12/03/2021 09:00,BTC/USDT,56506.71,56819.42,56311,56540.53,2384.202818,134846075.5,72558
1.62E+12,12/03/2021 08:00,BTC/USDT,56670.9,57095.76,56259.79,56503.21,3164.297806,179199309,98671
1.62E+12,12/03/2021 07:00,BTC/USDT,57061.52,57061.53,56456.71,56670.9,2870.522676,162772861.7,77700
1.62E+12,12/03/2021 06:00,BTC/USDT,57168.24,57430,56894.49,57061.52,2057.801778,117619076.4,68727
1.62E+12,12/03/2021 05:00,BTC/USDT,56696.18,57269.87,56350,57164.51,2283.873792,129789530.7,69906
1.62E+12,12/03/2021 04:00,BTC/USDT,57107.14,57238.7,56456.58,56696.17,2369.870299,134411337,66996
1.62E+12,12/03/2021 03:00,BTC/USDT,56972.08,57294.47,56800,57104.17,1559.933597,88961260.28,49973
1.62E+12,12/03/2021 02:00,BTC/USDT,56902.8,57120.67,56700,56972.08,1664.628699,94746373.79,70797
